name,PSNR,SSIM
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_24_11_Vibration_4_0.0.PNG'], 37.74, 0.9386
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_4_18_ZStack_0_4060.821.PNG'], 39.44, 0.9620
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_8_10_Focus_0_-7.265.PNG'], 31.09, 0.8269
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_1_16_Both_0_-5.6.PNG'], 31.38, 0.9056
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_22_0_Vibration_7_0.0.PNG'], 37.10, 0.9178
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_14_8_Vibration_7_0.0.PNG'], 33.05, 0.8741
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_1_0_Vibration_8_0.0.PNG'], 38.17, 0.9249
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_15_17_Both_9_-1.021.PNG'], 37.50, 0.9223
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_22_0_Both_3_12.03.PNG'], 33.57, 0.8791
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_21_18_Vibration_8_0.0.PNG'], 35.67, 0.9103
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_29_7_Focus_0_-0.235.PNG'], 24.84, 0.9617
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_4_18_Focus_0_11.159.PNG'], 30.30, 0.8076
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_10_11_Both_9_-5.948.PNG'], 31.02, 0.8260
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_1_16_Both_9_2.592.PNG'], 31.64, 0.9163
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_4_13_Focus_0_-8.767.PNG'], 29.83, 0.7969
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_10_14_Vibration_8_0.0.PNG'], 35.20, 0.9056
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_12_3_Focus_0_0.899.PNG'], 38.93, 0.9572
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_4_13_Focus_0_-13.567.PNG'], 28.37, 0.7657
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_17_20_Focus_0_-7.073.PNG'], 33.18, 0.8660
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_12_3_Vibration_5_0.0.PNG'], 37.60, 0.9386
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_12_18_Vibration_6_0.0.PNG'], 40.07, 0.9573
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_5_9_Both_9_-2.719.PNG'], 33.27, 0.8747
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_14_6_Focus_0_7.085.PNG'], 31.66, 0.8408
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_6_13_Vibration_8_0.0.PNG'], 35.37, 0.9089
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_29_15_Both_3_1.248.PNG'], 36.73, 0.9348
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_16_1_Both_3_-0.333.PNG'], 41.31, 0.9604
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_12_3_Vibration_8_0.0.PNG'], 34.90, 0.8989
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_25_4_Focus_0_-4.248.PNG'], 39.86, 0.9511
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_5_18_Focus_0_5.41.PNG'], 32.34, 0.8524
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_21_14_Vibration_4_0.0.PNG'], 37.99, 0.9427
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_13_5_Focus_0_-2.19.PNG'], 36.35, 0.9360
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_22_0_Both_9_-8.855.PNG'], 33.30, 0.8721
